first_name,last_name,birthday,gender,state,bioguide_id,opensecrets_id,party,image,title,url,address,phone,contact_form,twitter,facebook,facebook_id
Diane,Black,1/16/1951,F,TN,B001273,N00031539,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NOGNaMTNvVVFHdWc,rep,http://black.house.gov,1531 Longworth HOB; Washington DC 20515-4206,202-225-4231,http://black.house.gov/contact-me/email-me,RepDianeBlack,DianeBlackTN06,186436274719648
Mo,Brooks,4/29/1954,M,AL,B001274,N00030910,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NMHowMmR1ei1CckU,rep,http://brooks.house.gov,1230 Longworth HOB; Washington DC 20515-0105,202-225-4801,https://brooks.house.gov/email-me,RepMoBrooks,155220881193244,155220881193244
Larry,Bucshon,5/31/1962,M,IN,B001275,N00031227,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NWEhGZ21wUWFNRjg,rep,http://bucshon.house.gov,1005 Longworth HOB; Washington DC 20515-1408,202-225-4636,http://bucshon.house.gov/contact-me/email-me,RepLarryBucshon,RepLarryBucshon,135670516492974
Richard,Blumenthal,2/13/1946,M,CT,B001277,N00031685,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NR1BKc0ZqZVlyaUE,sen,http://www.blumenthal.senate.gov,724 Hart Senate Office Building Washington DC 20510,202-224-2823,http://www.blumenthal.senate.gov/contact/,SenBlumenthal,SenBlumenthal,289987304364966
Suzanne,Bonamici,10/14/1954,F,OR,B001278,N00033474,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NdGpXTl9qNzc3N3c,rep,http://bonamici.house.gov,439 Cannon HOB; Washington DC 20515-3701,202-225-0855,https://bonamici.house.gov/contact-me,RepBonamici,congresswomanbonamici,252633384817156
Ron,Barber,8/25/1945,M,AZ,B001279,N00033981,Democrat,no img,rep,http://barber.house.gov,1029 Longworth HOB; Washington DC 20515-0302,202-225-2542,https://barber.house.gov/contact-me/email-me,RepRonBarber,RepRonBarber,244907165625305
Kerry,Bentivolio,10/6/1951,M,MI,B001280,N00033625,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NTEJ2cU9UV1czWHc,rep,http://bentivolio.house.gov,226 Cannon HOB; Washington DC 20515-2211,202-225-8171,http://bentivolio.house.gov/contact/email-me,RepKerryB,repkerryb,316865541750741
Joyce,Beatty,3/12/1950,F,OH,B001281,N00033904,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NbHk3TnI2bzhocVE,rep,http://beatty.house.gov,417 Cannon HOB; Washington DC 20515-3503,202-225-4324,http://beatty.house.gov/contact/email-me,RepBeatty,no facebook,no facebook
Garland,Barr,7/24/1973,M,KY,B001282,N00031233,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NYTQxVUpBbEkzTDg,rep,http://barr.house.gov,1432 Longworth HOB; Washington DC 20515-1706,202-225-4706,http://barr.house.gov/contact/email-me,RepAndyBarr,RepAndyBarr,457461137635018
Jim,Bridenstine,6/15/1975,M,OK,B001283,N00033532,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NM3ktMzAxX2Fqc1U,rep,http://bridenstine.house.gov,216 Cannon HOB; Washington DC 20515-3601,202-225-2211,http://bridenstine.house.gov/contact/email-me,RepJBridenstine,CongressmanJimBridenstine,460003650715961
Susan,Brooks,8/25/1960,F,IN,B001284,N00033495,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NT0IzeUNQQ1ZRVjA,rep,http://susanwbrooks.house.gov,1505 Longworth HOB; Washington DC 20515-1405,202-225-2276,https://susanwbrooks.house.gov/contact/email-me,SusanWBrooks,congresswomansusanwbrooks,517697358277175
Julia,Brownley,8/28/1952,F,CA,B001285,N00034254,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NWml0dFk2VHJTRVE,rep,http://juliabrownley.house.gov,1019 Longworth HOB; Washington DC 20515-0526,202-225-5811,http://juliabrownley.house.gov/contact/email-me,JuliaBrownley26,RepJuliaBrownley,330504617051234
Cheri,Bustos,10/17/1961,F,IL,B001286,N00033390,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NMGhrZU1oNTJnTm8,rep,http://bustos.house.gov,1009 Longworth HOB; Washington DC 20515-1317,202-225-5905,http://bustos.house.gov/contact,RepCheri,RepCheri,581909665168588
Ami,Bera,3/2/1965,M,CA,B001287,N00030717,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5Ndy1meTJ5aWNSV3c,rep,http://bera.house.gov,1408 Longworth HOB; Washington DC 20515-0507,202-225-5716,http://bera.house.gov/contact,RepBera,RepAmiBera,528662157146886
Cory,Booker,4/27/1969,M,NJ,B001288,N00035267,Democrat,no img,sen,http://www.booker.senate.gov,141 Hart Senate Office Building Washington DC 20510,202-224-3224,http://www.booker.senate.gov/?p=contact,SenBookerOfc,no facebook,no facebook
Bradley,Byrne,2/16/1955,M,AL,B001289,N00035380,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NNi1JTHg1cDBsTlE,rep,http://byrne.house.gov,2236 Rayburn HOB; Washington DC 20515-0101,202-225-4931,no contact,RepByrne,RepByrne,1374832002773142
Ken,Calvert,6/8/1953,M,CA,C000059,N00007099,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NRi1BNjBVTm9JU2M,rep,http://calvert.house.gov,2269 Rayburn HOB; Washington DC 20515-0542,202-225-1986,http://calvert.house.gov/contact/,KenCalvert,70063393423,70063393423
Dave,Camp,7/9/1953,M,MI,C000071,N00008086,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NQXBZUFB3c3VHRTA,rep,http://camp.house.gov,341 Cannon HOB; Washington DC 20515-2204,202-225-3561,http://camp.house.gov/contact,RepDaveCamp,repdavecamp,6775033524
Maria,Cantwell,10/13/1958,F,WA,C000127,N00007836,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NSW5NQlYzemhhZ0E,sen,http://www.cantwell.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,CantwellPress,no facebook,no facebook
Benjamin,Cardin,10/5/1943,M,MD,C000141,N00001955,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NM0lCblYxa01MXzA,sen,http://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,SenatorCardin,senatorbencardin,120421834675191
Thomas,Carper,1/23/1947,M,DE,C000174,N00012508,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NQTF2ejBVaEpGQ3M,sen,http://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://carper.senate.gov/public/index.cfm/email-senator-carper,SenatorCarper,tomcarper,124891107521733
Steve,Chabot,1/22/1953,M,OH,C000266,N00003689,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NdFVGRTg0NTBoVG8,rep,http://chabot.house.gov,2371 Rayburn HOB; Washington DC 20515-3501,202-225-2216,http://chabot.house.gov/email-me/,RepSteveChabot,RepSteveChabot,204705339555378
Saxby,Chambliss,11/10/1943,M,GA,C000286,N00002685,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NME13ak90X0g3UEk,sen,http://www.chambliss.senate.gov,416 Russell Senate Office Building Washington DC 20510,202-224-3521,http://www.chambliss.senate.gov/public/index.cfm?p=Email,SaxbyChambliss,SaxbyChambliss,no facebook
Donna,Christensen,9/19/1945,F,VI,C000380,N00000133,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NUDgxNThod0hJSnc,rep,http://donnachristensen.house.gov,1510 Longworth HOB; Washington DC 20515-5501,202-225-1790,http://www.house.gov/writerep/,DelegateDonna,138013351189,138013351189
James,Clyburn,7/21/1940,M,SC,C000537,N00002408,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NVVc2cEtSYWNYWnM,rep,http://clyburn.house.gov,242 Cannon HOB; Washington DC 20515-4006,202-225-3315,http://clyburn.house.gov/contact-me/email-me,Clyburn,jameseclyburn,127744320598870
Daniel,Coats,5/16/1943,M,IN,C000542,N00003845,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NTUVpdVNYQ09ZNGM,sen,http://www.coats.senate.gov,493 Russell Senate Office Building Washington DC 20510,202-224-5623,http://www.coats.senate.gov/contact/,SenDanCoats,180671148633644,180671148633644
Howard,Coble,3/18/1931,M,NC,C000556,N00002247,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5Nd2JfQUhfMFNpcVU,rep,http://coble.house.gov,2188 Rayburn HOB; Washington DC 20515-3306,202-225-3065,http://www.house.gov/writerep,HowardCoble,HowardCoble6,208742429162356
Thomas,Coburn,3/14/1948,M,OK,C000560,N00005601,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5Nd1pWTnhuSlFBM3c,sen,http://www.coburn.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-5754,http://www.coburn.senate.gov/public/index.cfm/contactsenatorcoburn?p=ContactForm,TomCoburn,no facebook,no facebook
Thad,Cochran,12/7/1937,M,MS,C000567,N00003328,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NS0ljeHRJeXRYRUk,sen,http://www.cochran.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,202-224-5054,http://www.cochran.senate.gov/public/index.cfm/email-me,SenThadCochran,no facebook,no facebook
John,Conyers,5/16/1929,M,MI,C000714,N00004029,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NOGtXZ1M3aE9jSjQ,rep,http://conyers.house.gov,2426 Rayburn HOB; Washington DC 20515-2213,202-225-5126,http://conyers.house.gov/index.cfm?FuseAction=Contact.OnlineContactForm,RepJohnConyers,CongressmanConyers,206947066849
Jim,Cooper,6/19/1954,M,TN,C000754,N00003132,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NWUd6RGlvWGdpeVk,rep,http://cooper.house.gov,1536 Longworth HOB; Washington DC 20515-4205,202-225-4311,https://forms.house.gov/cooper/webforms/issue_subscribe.html,RepJimCooper,JimCooper,no facebook
Michael,Crapo,5/20/1951,M,ID,C000880,N00006267,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NRkJIN19LeGE0VTg,sen,http://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,http://www.crapo.senate.gov/contact/email.cfm,MikeCrapo,mikecrapo,80335332266
Elijah,Cummings,1/18/1951,M,MD,C000984,N00001971,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5Nd2R0NTh6eG9zNUk,rep,http://cummings.house.gov,2235 Rayburn HOB; Washington DC 20515-2007,202-225-4741,https://forms.house.gov/wyr/welcome.shtml,RepCummings,elijahcummings,291368465380
Susan,Collins,12/7/1952,F,ME,C001035,N00000491,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NcVVXMHUzeUkxN1k,sen,http://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/public/index.cfm/email,SenatorCollins,susancollins,7593313361
Lois,Capps,1/10/1938,F,CA,C001036,N00007232,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NSHhnRW1zSVlZRW8,rep,http://capps.house.gov,2231 Rayburn HOB; Washington DC 20515-0524,202-225-3601,http://capps.house.gov/contact-me/email-me,RepLoisCapps,loiscapps,168989481141
Michael,Capuano,1/9/1952,M,MA,C001037,N00000267,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NUWs1WnZtZVlXY3c,rep,http://www.house.gov/capuano,1414 Longworth HOB; Washington DC 20515-2107,202-225-5111,http://www.house.gov/capuano/contact/email.shtml,no twitter,RepMichaelCapuano,151168844937573
Joseph,Crowley,3/16/1962,M,NY,C001038,N00001127,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NdjhxRk5WSy1ub0U,rep,http://crowley.house.gov,1436 Longworth HOB; Washington DC 20515-3214,202-225-3965,http://crowley.house.gov/contact-me/email-me,RepJoeCrowley,repjoecrowley,176197712425090
Ander,Crenshaw,9/1/1944,M,FL,C001045,N00012739,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NQk5pTHZCMEpKZGs,rep,http://crenshaw.house.gov,440 Cannon HOB; Washington DC 20515-0904,202-225-2501,https://forms.house.gov/wyr/welcome.shtml,AnderCrenshaw,200388204657,200388204657
Eric,Cantor,6/6/1963,M,VA,C001046,N00013131,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NQjZSTU9LS21kTWs,rep,http://cantor.house.gov,303 Cannon HOB; Washington DC 20515-4607,202-225-2815,https://writerep.house.gov/writerep/welcome.shtml,GOPLeader,no facebook,no facebook
Shelley,Capito,11/26/1953,F,WV,C001047,N00009771,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NQmNDZHAwekdTaTg,rep,http://capito.house.gov,2366 Rayburn HOB; Washington DC 20515-4802,202-225-2711,https://forms.house.gov/wyr/welcome.shtml,RepShelley,8057864757,8057864757
John,Culberson,8/24/1956,M,TX,C001048,N00009738,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NR2JZc0Z6cXRjT28,rep,http://culberson.house.gov,2352 Rayburn HOB; Washington DC 20515-4307,202-225-2571,http://culbersonforms.house.gov/contact/,CongCulberson,CongressmanCulberson,1751723339
Wm.,Clay,7/27/1956,M,MO,C001049,N00012460,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NMzl6YWdabEhzOTQ,rep,http://lacyclay.house.gov,2418 Rayburn HOB; Washington DC 20515-2501,202-225-2406,http://lacyclay.house.gov/contact-us/,no twitter,109135405838588,109135405838588
John,Carter,11/6/1941,M,TX,C001051,N00025095,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NN1ZScWR3RzJpd0U,rep,http://carter.house.gov,409 Cannon HOB; Washington DC 20515-4331,202-225-3864,https://forms.house.gov/wyr/welcome.shtml,JudgeCarter,judgecarter,1287257083
Tom,Cole,4/28/1949,M,OK,C001053,N00025726,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NMm5INlF6QU03YU0,rep,http://cole.house.gov,2458 Rayburn HOB; Washington DC 20515-3604,202-225-6165,https://coleforms.house.gov/contact/default.aspx,TomColeOK04,TomColeOK04,146497782066300
